Ad clicked Date,Ad Title/Id
2025/01/09 11:42:47 UTC,145111864
2024/08/06 18:21:45 UTC,192280506
2024/07/06 21:08:04 UTC,312028496
2026/03/05 06:09:52 UTC,145111864
2024/07/06 21:08:04 UTC,312028496
2024/07/08 14:31:53 UTC,312028496
2024/07/06 21:08:04 UTC,312028496
2024/07/08 14:31:53 UTC,312028496
2024/07/06 21:08:04 UTC,312028496
2026/05/14 14:48:58 UTC,447560993
2024/07/06 19:33:48 UTC,389444564
2026/05/11 14:28:33 UTC,1406355776
2024/12/23 15:59:52 UTC,547710673
2026/05/17 09:50:25 UTC,1404475776
2025/06/25 17:22:14 UTC,732042246
2026/05/13 07:41:51 UTC,1100390073
2026/05/09 13:01:57 UTC,1400292406
2026/05/06 17:33:21 UTC,1281784904
2026/05/06 15:48:29 UTC,1390161396
2026/05/06 11:35:41 UTC,145111864
2026/05/06 04:24:43 UTC,1371560606
2026/04/30 15:16:40 UTC,869512964
2026/04/28 08:54:52 UTC,1389470546
2026/04/23 09:35:01 UTC,1389470546
2026/04/22 19:59:57 UTC,1277199574
2026/04/21 09:39:16 UTC,1389615006
2026/04/20 11:46:36 UTC,145111864
2026/04/14 13:06:24 UTC,1216084203
2026/03/30 08:47:13 UTC,1193230593
2026/03/30 08:47:13 UTC,1193230593
2026/03/30 08:47:41 UTC,1193230593
2026/03/30 13:17:11 UTC,1198381383
2026/03/26 20:00:52 UTC,956987876
2026/03/07 06:49:39 UTC,145111864
2026/03/07 06:49:59 UTC,145111864
2026/03/07 07:13:17 UTC,1150313254
2025/11/25 09:07:27 UTC,969745203
2025/11/25 09:08:11 UTC,969745203
2025/11/25 09:08:13 UTC,969745203
2025/11/25 09:08:14 UTC,969745203
2025/11/26 00:03:18 UTC,969869983
2025/11/25 11:31:52 UTC,969997643
2024/07/02 11:34:22 UTC,145111864
2024/07/02 11:34:26 UTC,145111864
2025/05/02 16:36:08 UTC,145111864
